Datum dobave,SIPXbase,SIPXeuro-peak,SIPX1,SIPX2,SIPX3,SIPX4,SIPX5,SIPX6,SIPX7,SIPX8,SIPX9,SIPX10,SIPX11,SIPX12,SIPX13,SIPX14,SIPX15,SIPX16,SIPX17,SIPX18,SIPX19,SIPX20,SIPX21,SIPX22,SIPX23,SIPX24,SIPX25
04/01/24,27.45,14.05,42.13,34.75,35.2,40.45,44.15,47.1,52.74,57.31,35.29,13.69,10.44,7.67,4.27,0.03,-0.01,-0.01,-0.01,6.13,39.34,51.79,52.14,44.83,26.72,12.58,
03/31/24,29.42,14.75,60.13,46.8,28.37,28.69,38.17,30.39,33.29,22.32,1.03,-1.1,-4.29,-5,-2.17,-0.17,-0.94,8.19,37.77,51.81,69.6,64.93,63.43,58.74,46.61,,
03/30/24,48.88,34.61,69.3,58.16,58.08,59.3,60.47,65.05,57.79,45.85,35.2,28.7,17.95,9.87,0,0.06,12.87,25.38,52.52,70.59,80.02,82.18,76.47,70.66,70.83,65.74,
03/29/24,37.38,37.47,20.6,18.83,12.43,10.24,12.59,14.32,22.02,25.94,17.29,18.28,16.88,18.17,12.71,9.86,13.44,21.37,48.47,74.95,92.82,105.38,87.4,77.25,75.89,70,
03/28/24,47.86,39.24,54.06,48.33,55.48,56.3,58.32,64.63,74.44,74.71,70.12,56.01,41.18,31.59,6.52,0.05,0.88,25.18,33.32,56.83,71.48,77.69,68.46,57.07,40.96,25,
03/27/24,67.85,66.51,58.35,57.09,57.28,56.62,58.36,67.52,79.53,82.33,75.89,63.11,53.41,44.94,44.87,43.57,42.3,56.2,71.42,79.72,108.28,114.43,93.28,76.58,75.06,68.21,
03/26/24,64.81,57.71,74.65,70.13,68.17,66.89,67.7,70.37,80.24,79.07,71.58,62,49.5,37.03,14.91,27.8,37.1,50.78,64.42,76.72,100.4,100.3,79.43,72.59,69.33,64.39,
03/25/24,81.92,86.19,62.51,60.09,59.95,61.61,62.9,75.16,89.38,113.87,99.68,73.43,64.71,59,56.62,56.61,56.82,73.01,80.09,106.17,162.1,146.04,106.09,86.08,80.99,73.25,
03/24/24,30.66,23.88,32.1,17.43,16.64,24.59,26.77,27.64,18.87,7.58,0,0,0,0,0,0,0,0.01,46.12,74.4,82.99,83.06,73.87,70.4,68.23,65.21,
03/23/24,39.57,24.03,69,64.71,60.04,58.1,54.52,60.42,58.12,55.37,35.43,15.36,0.15,0.14,2.46,1.57,2.17,8.58,26.29,54.72,69.87,71.59,60.17,53.27,39.05,28.5,
03/22/24,65.48,66.26,54.52,50.68,48.08,49.14,49.34,62.33,78.95,77.19,70.85,58.43,48.09,45.52,45.88,47.99,49.01,54.28,69.82,82.07,110.86,112.29,88.32,75.37,72.75,69.73,
03/21/24,80.85,85.04,74.68,69.04,68.51,66.93,67.05,70.48,88.16,95.68,97.56,78.25,81.78,82.02,76.83,58.03,62.33,68.5,75.58,95.68,121.89,122.01,95.83,80.31,75.04,68.34,
03/20/24,83.95,79.38,76.01,72.91,73.39,72.91,71.74,77.96,107.07,113.5,92.96,63.4,44.49,41.84,41.05,42.58,47.26,63.74,82.29,116.34,159.45,157.11,124.53,103.17,92.02,77.19,
03/19/24,81.41,80.35,73.2,72.16,70.32,69.91,71,72.58,92.59,109.51,95.87,71.88,63.35,57.9,53.42,55.39,61.42,68.53,80.8,102.02,124.7,128.96,110,90.19,82.08,76.1,
